Identifier,Evaluation,True,2-Norm for Adv.-Image,Class
Unknown,4106,False,0.6319563984870911,3
Unknown,9323,False,0.6393911838531494,7
Unknown,4958,False,0.6572548747062683,0
Unknown,2280,True,0.0,3
Unknown,307,False,0.6246907711029053,7
Unknown,3147,False,0.6167510151863098,9
Unknown,5741,False,0.6750167012214661,4
Unknown,7504,False,0.6134954690933228,7
Unknown,1264,False,0.6319735050201416,4
Unknown,2403,False,0.6594600081443787,0
Unknown,6385,False,0.6523075103759766,5
Unknown,7113,False,0.6446428894996643,6
Unknown,1083,False,0.5993483066558838,1
Unknown,8143,False,0.657489538192749,6
Unknown,1252,False,0.6390669345855713,5
Unknown,5169,False,0.6497129201889038,4
Unknown,1552,False,0.64372718334198,4
Unknown,9191,False,0.654458224773407,2
Unknown,9320,False,0.6446444988250732,4
Unknown,6446,False,0.660840630531311,2
Unknown,4739,False,0.6527881026268005,0
Unknown,5107,False,0.6212171316146851,7
Unknown,6483,False,0.6475906372070312,5
Unknown,2961,False,0.6323496699333191,7
Unknown,3866,False,0.6036357879638672,1
Unknown,1099,False,0.6450977325439453,6
Unknown,2221,False,0.6119463443756104,1
Unknown,5848,False,0.5990601778030396,1
Unknown,965,True,0.0,6
Unknown,6330,False,0.6678791046142578,2
Unknown,6512,False,0.6507125496864319,9
Unknown,202,False,0.6142985224723816,1
Unknown,9945,False,0.6412194967269897,9
Unknown,7007,False,0.679266631603241,2
Unknown,7699,False,0.6497729420661926,0
Unknown,1474,False,0.6581262350082397,8
Unknown,3784,False,0.6050359606742859,1
Unknown,8602,False,0.67576664686203,2
Unknown,3243,False,0.6321229934692383,0
Unknown,9089,False,0.6346603035926819,9
Unknown,2053,False,0.6388992667198181,4
Unknown,637,False,0.6339221596717834,3
Unknown,809,False,0.6082992553710938,1
Unknown,1553,False,0.6266955733299255,9
Unknown,3128,False,0.6341604590415955,2
Unknown,3910,False,0.650679349899292,3
Unknown,5093,False,0.630578339099884,1
Unknown,7696,False,0.6587319374084473,4
Unknown,9372,False,0.6621712446212769,5
Unknown,8286,False,0.6399577260017395,1
Unknown,7224,False,0.6374848484992981,9
Unknown,3727,True,0.0,8
Unknown,7697,False,0.6215863227844238,9
Unknown,2562,False,0.6534247398376465,6
Unknown,7887,False,0.6578209400177002,0
Unknown,1686,True,0.6514555215835571,8
Unknown,1876,False,0.6061999201774597,1
Unknown,2893,False,0.636171281337738,3
Unknown,1864,False,0.6372228860855103,4
Unknown,7150,False,0.6285613179206848,1
Unknown,3261,False,0.6293447613716125,3
Unknown,5335,False,0.6222307085990906,4
Unknown,6335,False,0.645515501499176,7
Unknown,7428,False,0.6589864492416382,8
Unknown,8590,False,0.6393243670463562,9
Unknown,1930,False,0.6496957540512085,2
Unknown,5431,False,0.5940302014350891,1
Unknown,3152,False,0.6075274348258972,1
Unknown,899,False,0.6799667477607727,8
Unknown,613,False,0.6243649125099182,2
Unknown,4837,False,0.5794374942779541,7
Unknown,442,False,0.6462918519973755,3
Unknown,7445,False,0.6122189164161682,7
Unknown,601,False,0.6568382382392883,8
Unknown,4807,True,0.0,8
Unknown,52,False,0.6517189145088196,5
Unknown,7100,False,0.6569322943687439,2
Unknown,3123,False,0.6287090182304382,4
Unknown,5404,False,0.6348517537117004,9
Unknown,9121,False,0.6229819059371948,1
Unknown,9683,False,0.643658459186554,4
Unknown,5997,True,0.687548816204071,5
Unknown,3499,False,0.6224263906478882,8
Unknown,1733,False,0.6894374489784241,6
Unknown,887,False,0.6344786882400513,3
Unknown,4832,False,0.6382849812507629,6
Unknown,5242,False,0.6171895265579224,9
Unknown,8304,False,0.6340063214302063,7
Unknown,3448,False,0.6529213786125183,3
Unknown,8622,False,0.654856264591217,6
Unknown,3011,False,0.640593409538269,7
Unknown,5745,False,0.5905362367630005,7
Unknown,5365,False,0.625667929649353,7
Unknown,2659,False,0.6467090249061584,4
Unknown,6006,False,0.6127723455429077,7
Unknown,2789,False,0.6142724752426147,1
Unknown,9448,False,0.6553522944450378,7
Unknown,4590,False,0.6202432513237,4
Unknown,9621,False,0.6489340662956238,0
Unknown,3558,True,0.0,5
DIFGSM,4106,False,0.6092462539672852,3
DIFGSM,9323,False,0.6204153895378113,7
DIFGSM,4958,False,0.6150005459785461,0
